-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  52.52   Longitude 13.405 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-2.6,-0.74,5.66,6.88,13.9,16.58,17.94,17.3,14.9,7.86,3.75,-5.44,8.05
T2M,1982,-3.82,-1.25,3.65,5.99,12.67,16.93,20.51,19.9,17.15,10.01,5.19,0.8,9.04
T2M,1983,3.44,-2.26,4.07,8.61,12.72,16.33,21.22,19.55,14.63,9.11,3.3,-1.27,9.19
T2M,1984,0.04,-1.07,1.11,6.77,12.31,14.3,16.51,19.23,13.06,10.35,3.08,-0.75,7.94
T2M,1985,-7.38,-4.86,2.41,7.19,14.15,14.62,18.58,18.08,13.77,9.16,0.05,1.8,7.38
T2M,1986,-1.5,-7.85,1.94,5.9,14.07,15.73,18.53,17.61,11.46,9.15,5.25,0.76,7.69
T2M,1987,-9.42,-2.49,-1.49,8.14,10.15,14.59,17.45,15.84,14.18,8.76,4.58,0.99,6.81
T2M,1988,1.62,1.52,1.87,7.33,14.15,15.97,18.42,18.26,14.37,9.47,2.02,2.01,8.94
T2M,1989,2.01,3.1,6.19,7.8,14.58,17.3,19.35,18.79,16.52,10.95,2.01,0.94,10.01
T2M,1990,1.89,4.95,6.84,7.91,14.76,16.37,17.84,19.87,12.57,9.89,3.85,-1.55,9.63
T2M,1991,0.65,-3.64,5.17,7.02,9.88,14.65,20.44,19.26,15.87,8.87,3.37,-0.19,8.52
T2M,1992,0.23,2.33,4.22,7.7,14.26,20.23,21.26,21.23,14.4,6.01,4.08,-0.48,9.64
