-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  21.3099   Longitude -157.8581 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 78.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
WS50M_MAX             MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,23.35,22.92,22.87,23.55,24.01,25.07,25.16,25.65,25.99,24.85,24.42,23.01,24.24
T2M,1982,22.43,21.98,21.7,21.98,23.03,24.73,25.13,25.35,24.95,24.54,23.93,22.03,23.49
T2M,1983,21.88,21.55,21.94,22.32,22.72,23.93,24.56,24.51,24.55,23.93,23.71,22.66,23.19
T2M,1984,22.47,22.12,23.15,22.99,23.91,24.58,25.11,25.25,25.57,25.99,24.58,23.05,24.07
T2M,1985,22.07,22.12,21.77,21.83,22.4,23.98,24.78,25.45,25.52,24.71,23.48,22.38,23.38
T2M,1986,21.88,22.38,22.78,23.08,23.73,24.48,25.48,26.19,26.37,25.83,25.07,23.23,24.22
T2M,1987,22.07,21.44,21.87,22.45,22.64,24.55,25.45,26.42,26.36,25.57,24.65,23.59,23.94
T2M,1988,22.45,22.76,22.82,23.06,24.15,24.82,25.6,25.56,25.85,25.65,25.06,24.15,24.33
T2M,1989,22.9,22.7,22.91,22.13,23.53,24.92,25.02,25.5,25.51,25.65,24.06,22.69,23.97
T2M,1990,22.51,21.54,21.76,23.12,23.25,24.15,25.08,25.62,26.03,25.15,24.08,22.76,23.76
